Date,Volume,Adj Close
"Aug 21, 2025",196698,63.5
"Aug 20, 2025",99484,63.21
"Aug 19, 2025",99484,62.35
"Aug 18, 2025",95113,63.42
"Aug 15, 2025",197390,62.8
"Aug 14, 2025",251652,63.96
"Aug 13, 2025",298939,62.65
"Aug 12, 2025",304441,63.17
"Aug 11, 2025",234807,63.96
"Aug 8, 2025",322939,63.88
"Aug 7, 2025",300518,63.88
"Aug 6, 2025",353827,64.35
"Aug 5, 2025",279030,65.16
"Aug 4, 2025",277375,66.29
"Aug 1, 2025",355819,67.33
"Jul 31, 2025",247031,69.26
"Jul 30, 2025",345336,70.0
"Jul 29, 2025",329112,69.21
"Jul 28, 2025",262038,66.71
"Jul 25, 2025",234283,65.16
"Jul 24, 2025",281209,66.03
"Jul 23, 2025",251825,65.25
"Jul 22, 2025",269991,66.21
"Jul 21, 2025",81194,67.2
"Jul 18, 2025",107628,67.34
"Jul 17, 2025",188802,67.54
"Jul 16, 2025",248346,66.38
"Jul 15, 2025",252724,66.52
"Jul 14, 2025",263877,66.98
"Jul 11, 2025",226297,68.45
"Jul 10, 2025",258654,66.57
"Jul 9, 2025",223945,68.38
"Jul 8, 2025",219882,68.33
"Jul 7, 2025",332949,67.93
"Jul 4, 2025",0,66.5
"Jul 3, 2025",0,67.0
"Jul 2, 2025",265200,67.45
"Jul 1, 2025",193162,65.45
"Jun 30, 2025",193289,65.11
"Jun 27, 2025",236284,65.52
"Jun 26, 2025",233771,65.24
"Jun 25, 2025",278504,64.92
"Jun 24, 2025",541475,64.37
"Jun 23, 2025",728868,68.51
"Jun 20, 2025",678377,74.93
"Jun 18, 2025",0,75.14
"Jun 17, 2025",154264,74.84
"Jun 16, 2025",367312,71.77
"Jun 13, 2025",715652,72.98
"Jun 12, 2025",379394,68.04
"Jun 11, 2025",378473,68.15
"Jun 10, 2025",279021,64.98
"Jun 9, 2025",235900,65.29
"Jun 6, 2025",310133,64.58
"Jun 5, 2025",232423,63.37
"Jun 4, 2025",321128,62.85
"Jun 3, 2025",291260,63.41
"Jun 2, 2025",403580,62.52
"May 30, 2025",384927,60.79
"May 29, 2025",299859,60.94
"May 28, 2025",260374,61.84
"May 27, 2025",291317,60.89
"May 23, 2025",273392,61.53
"May 22, 2025",258549,61.2
"May 21, 2025",302702,61.57
"May 20, 2025",250414,62.56
"May 19, 2025",95570,62.69
"May 16, 2025",121556,62.49
"May 15, 2025",258404,61.62
"May 14, 2025",225626,63.15
"May 13, 2025",258795,63.67
"May 12, 2025",325865,61.95
"May 9, 2025",239640,61.02
"May 8, 2025",281000,59.91
"May 7, 2025",295238,58.07
"May 6, 2025",343893,59.09
"May 5, 2025",308387,57.13
"May 2, 2025",322096,58.29
"May 1, 2025",364216,59.24
"Apr 30, 2025",419549,58.21
